Rank,Club,Stat
1,     Manchester City ,9
2,     Brentford ,7
3,     Brighton & Hove Albion ,6
4,     Newcastle United ,6
5,     West Ham United ,6
6,     Fulham ,5
7,     Tottenham Hotspur ,5
8,     Arsenal ,3
9,     Aston Villa ,3
10,     Chelsea ,3
11,     Everton ,3
12,     Leicester City ,3
13,     Manchester United ,3
14,     Nottingham Forest ,3
15,     Wolverhampton Wanderers ,3
16,     Liverpool ,2
17,     Southampton ,2
18,     Crystal Palace ,1
19,     Leeds United ,1
